word,freq_grltrain,prop_grltrain,freq_orwell,prop_orwell,freq_crime,prop_crime,freq_lolita,prop_lolita,freq_catcher,prop_catcher,freq_gatsby,prop_gatsby,freq_feynman,prop_feynman,freq_giver,prop_giver,freq_artwar,prop_artwar,freq_vegas,prop_vegas,freq_friends,prop_friends,freq_hitchhike,prop_hitchhike
l,505.0,0.00222294608585,381.0,0.00254750665294,180.0,0.00194302615529,150.0,0.00127306367016,242.0,0.00152917759313,339.0,0.00185145740829,49.0,0.00276757977972,423.0,0.00271060017686,38.0,0.00227408737283,34.0,0.00175167439464,115.0,0.00188083672702,77.0,0.000889597486021
book,504.0,0.00221854421242,407.0,0.0027213522513,333.0,0.00359459838729,323.0,0.00274133043641,481.0,0.00303939843923,394.0,0.00215184135358,74.0,0.00417961027958,662.0,0.00424212131698,64.0,0.00383004189108,125.0,0.00643997939207,349.0,0.00570793058895,565.0,0.00652756596885
house,503.0,0.00221414233898,27.0,0.000180531967531,25.0,0.00026986474379,25.0,0.00021217727836,30.0,0.000189567470222,211.0,0.00115238204469,0.0,0.0,59.0,0.000378074256347,0.0,0.0,0.0,0.0,8.0,0.000130840815792,110.0,0.00127085355146
star,500.0,0.00220093671867,113.0,0.000755559715963,66.0,0.000712442923607,163.0,0.0013833958549,135.0,0.000853053615999,202.0,0.00110322830818,14.0,0.000790737079921,176.0,0.0011278147308,9.0,0.000538599640934,22.0,0.001133436373,52.0,0.000850465302651,136.0,0.00157123711817
take,497.0,0.00218773109836,275.0,0.00183875152115,198.0,0.00213732877082,238.0,0.00201992768998,303.0,0.00191463144924,342.0,0.00186784198712,41.0,0.00231573001977,476.0,0.00305022620375,45.0,0.00269299820467,79.0,0.00407006697579,129.0,0.00210980815465,201.0,0.00232219603494
recommend,491.0,0.00216131985773,186.0,0.00124366466521,110.0,0.00118740487268,134.0,0.00113727021201,235.0,0.00148494518341,229.0,0.00125068951769,38.0,0.00214628635979,455.0,0.00291565740064,52.0,0.00311190903651,47.0,0.00242143225142,231.0,0.00377802855601,225.0,0.00259947317344
written,489.0,0.00215251611086,378.0,0.00252744754543,188.0,0.0020293828733,474.0,0.0040228811977,298.0,0.00188303687087,336.0,0.00183507282945,49.0,0.00276757977972,317.0,0.00203134812309,91.0,0.00544584081388,72.0,0.00370942812983,232.0,0.00379438365798,179.0,0.00206802532465
though,487.0,0.00214371236398,268.0,0.00179194693697,177.0,0.00191064238604,242.0,0.00205387605452,388.0,0.00245173928154,323.0,0.00176407298784,25.0,0.00141203049986,287.0,0.00183910697579,39.0,0.00233393177738,25.0,0.00128799587841,116.0,0.00189719182899,145.0,0.0016752160451
many,486.0,0.00213931049054,367.0,0.00245389748459,227.0,0.00245037187362,321.0,0.00272435625414,565.0,0.00357018735585,499.0,0.00272530161279,93.0,0.00525275345947,501.0,0.00321042715983,121.0,0.00724117295033,74.0,0.0038124678001,314.0,0.00513550201986,297.0,0.00343130458894
little,481.0,0.00211730112336,156.0,0.00104307359018,128.0,0.00138170748821,242.0,0.00205387605452,408.0,0.00257811759502,303.0,0.00165484246227,47.0,0.00265461733973,302.0,0.00193522754944,27.0,0.0016157989228,29.0,0.00149407521896,134.0,0.00219158366452,178.0,0.00205647211054
