"Name.of.Satellite..Alternate.Names","Country.Org.of.UN.Registry","Users","Purpose","Class.of.Orbit","Period..minutes.","Launch.Mass..kg..","Date.of.Launch","Launch.Site","Distance"
"Iridium 15 (Iridium SV015)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-07-09,"Vandenberg AFB",777.5
"Iridium 18 (Iridium SV018)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-07-09,"Vandenberg AFB",777.5
"Iridium 19 (Iridium SV019)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-09-27,"Vandenberg AFB",777.5
"Iridium 20A (Iridium SVO89)","China","Government/Commercial","Communications","LEO","100.4","689",1998-12-19,"Taiyuan Launch Center",777.5
"Iridium 21A (Iridium SVO93)","China","Government/Commercial","Communications","LEO","100.4","689",1999-06-11,"Taiyuan Launch Center",777.5
"Iridium 22 (Iridium SV022)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-08-21,"Vandenberg AFB",777.5
"Iridium 23 (Iridium SV023)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-08-21,"Vandenberg AFB",777.5
"Iridium 25 (Iridium SV025)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-08-21,"Vandenberg AFB",777.5
"Iridium 3 (Iridium SV078)","China","Government/Commercial","Communications","LEO","100.4","689",1998-08-19,"Taiyuan Launch Center",778
"Iridium 30 (Iridium SV030)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-09-14,"Baikonur Cosmodrome",777.5
"Iridium 31 (Iridium SVO31)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-09-14,"Baikonur Cosmodrome",777.5
"Iridium 32 (Iridium  SV032)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-09-14,"Baikonur Cosmodrome",777.5
"Iridium 34 (Iridium SV034)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-09-27,"Vandenberg AFB",777.5
"Iridium 35 (Iridium SV035)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-09-27,"Vandenberg AFB",777.5
"Iridium 37 (Iridium SV037)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-09-27,"Vandenberg AFB",777.5
"Iridium 39 (Iridium SV039)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-11-09,"Vandenberg AFB",777.5
"Iridium 40 (Iridium SV040)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-11-09,"Vandenberg AFB",777.5
"Iridium 41 (Iridium SV041)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-11-09,"Vandenberg AFB",777.5
"Iridium 42 (Iridium SV042)","China","Government/Commercial","Communications","LEO","100.4","689",1997-12-08,"Taiyuan Launch Center",777.5
"Iridium 43 (Iridium SV043)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-11-09,"Vandenberg AFB",777.5
"Iridium 45 (Iridium SV045)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-12-20,"Vandenberg AFB",777.5
"Iridium 46 (Iridium SV046)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-08-21,"Vandenberg AFB",777.5
"Iridium 47 (Iridium SV047)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-12-20,"Vandenberg AFB",778
"Iridium 49 (Iridium SV049)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-12-20,"Vandenberg AFB",777.5
"Iridium 5 (Iridium SV005)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-05-05,"Vandenberg AFB",777.5
"Iridium 50 (Iridium SV050)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-02-18,"Vandenberg AFB",778
"Iridium 51 (Iridium SV 051)","China","Government/Commercial","Communications","LEO","100.4","689",1998-03-25,"Taiyuan Launch Center",777.5
"Iridium 52 (Iridium SV052)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-02-18,"Vandenberg AFB",777.5
"Iridium 53 (Iridium SV053)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-02-18,"Vandenberg AFB",777.5
"Iridium 54 (Iridium SV054)","USA","Government/Commercial","Communications","LEO","100.4","",1998-02-18,"Vandenberg AFB",777.5
"Iridium 55 (Iridium SV055)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-03-30,"Vandenberg AFB",777.5
"Iridium 56 (Iridium SV056)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-02-18,"Vandenberg AFB",777.5
"Iridium 57 (Iridium SV057)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-03-30,"Vandenberg AFB",777.5
"Iridium 58 (Iridium SV058)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-03-30,"Vandenberg AFB",777.5
"Iridium 59 (Iridium SV059)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-03-30,"Vandenberg AFB",778
"Iridium 6 (Iridium SV006)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-05-06,"Vandenberg AFB",778
"Iridium 60 (Iridium SV060)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-03-30,"Vandenberg AFB",777.5
"Iridium 61 (Iridium SV061)","China","Government/Commercial","Communications","LEO","100.4","689",1998-03-25,"Taiyuan Launch Center",777.5
"Iridium 62 (Iridium SV062)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-04-07,"Baikonur Cosmodrome",777.5
"Iridium 64 (Iridium SV064)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-04-07,"Baikonur Cosmodrome",777.5
"Iridium 65 (Iridium SV065)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-04-07,"Baikonur Cosmodrome",777.5
"Iridium 66 (Iridium SV066)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-04-07,"Baikonur Cosmodrome",777.5
"Iridium 67 (Iridium SV067)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-04-07,"Baikonur Cosmodrome",777.5
"Iridium 68 (Iridium SV068)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-04-07,"Baikonur Cosmodrome",777.5
"Iridium 7 (Iridium SV007)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-05-05,"Vandenberg AFB",777.5
"Iridium 70 (Iridium SV070)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-05-17,"Vandenberg AFB",777.5
"Iridium 72 (Iridium SV072)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-05-17,"Vandenberg AFB",777.5
"Iridium 74 (Iridium SV074)","USA","Government/Commercial","Communications","LEO","99.8","689",1998-05-17,"Vandenberg AFB",749
"Iridium 75 (Iridium SV075)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-05-17,"Vandenberg AFB",777.5
"Iridium 76 (Iridium SV076)","China","Government/Commercial","Communications","LEO","100.4","689",1998-08-19,"Taiyuan Launch Center",778
"Iridium 77 (Iridium SV077)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-09-08,"Vandenberg AFB",778
"Iridium 8 (Iridium SV008)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-05-05,"Vandenberg AFB",777.5
"Iridium 80 (Iridium SV080)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-09-08,"Vandenberg AFB",777.5
"Iridium 81 (Iridium SV081)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-09-08,"Vandenberg AFB",777.5
"Iridium 82 (Iridium SV082)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-09-08,"Vandenberg AFB",777.5
"Iridium 83 (Iridium SV083)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-11-06,"Vandenberg AFB",777.5
"Iridium 84 (Iridium SV084)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-11-06,"Vandenberg AFB",777.5
"Iridium 86 (Iridium SV086)","USA","Government/Commercial","Communications","LEO","100.4","689",1998-11-06,"Vandenberg AFB",778
"Iridium 90 (Iridium SV090)","USA","Government/Commercial","Communications","LEO","100.4","689",2002-02-11,"Vandenberg AFB",777.5
"Iridium 91 (Iridium SV091)","USA","Government/Commercial","Communications","LEO","99.8","689",2002-02-11,"Vandenberg AFB",748.5
"Iridium 94 (Iridium SV094)","USA","Government/Commercial","Communications","LEO","100.4","689",2002-02-11,"Vandenberg AFB",777.5
"Iridium 95 (Iridium SV095)","USA","Government/Commercial","Communications","LEO","100.4","689",2002-02-11,"Vandenberg AFB",777.5
"Iridium 96 (Iridium SV096)","USA","Government/Commercial","Communications","LEO","99.8","689",2002-02-11,"Vandenberg AFB",749.5
"Iridium 97 (Iridium SV097)","USA","Government/Commercial","Communications","LEO","100.4","689",2002-06-20,"Plesetsk Cosmodrome",777.5
"Iridium 98 (Iridium SV098)","USA","Government/Commercial","Communications","LEO","99.8","689",2002-06-20,"Plesetsk Cosmodrome",749
"IRIS (Interface Region Imaging Spectrometer)","USA","Government","Space Science","LEO","97.5","236",2013-06-28,"Vandenberg AFB",642
"IRNSS-1A (Indian Regional Navigation Satellite System)","India","Government","Navigation/Regional Positioning","GEO","1436","1,425",2013-07-01,"Sriharikota Launch Station",35792
"IRNSS-1B (Indian Regional Navigation Satellite System)","India","Government","Navigation/Regional Positioning","GEO","1436.14","1,432",2014-04-04,"Sriharikota Launch Station",35787.5
"IRNSS-1C (Indian Regional Navigation Satellite System)","NR","Government","Navigation/Regional Positioning","GEO","1435.8","1,425",2014-10-15,"Sriharikota Launch Station",35780.5
"IRNSS-1D (Indian Regional Navigation Satellite System)","NR","Government","Navigation/Regional Positioning","GEO","1435.06","1,425",2015-03-30,"Sriharikota Launch Station",35766.5
"IRS-P6 (Resourcesat-1) ","India","Government","Earth Observation","LEO","101.3","1,360",2003-10-17,"Sriharikota Launch Station",820
"ITU-pSAT1 (Istanbul Technical University Picosat-1)","NR","Civil","Technology Development","LEO","99.1","1",2009-09-23,"Sriharikota Launch Station",715.5
"Jason 2 ","France","Government","Earth Observation","LEO","112.4","553",2008-06-20,"Vandenberg AFB",1338
"JCSat 10 (Japan Communications Satellite 10, JCSat 3A)","Japan","Commercial","Communications","GEO","1436.1","4,400",2006-08-11,"Guiana Space Center",35786.5
"JCSat 110 (N-Sat-110, Superbird-D, Superbird-5, N-Sat-110)","Japan","Commercial","Communications","GEO","1436.11","3,531",2000-10-07,"Guiana Space Center",35786.5
"JCSat 13 (Japan Communications Satellite 13)","Japan","Commercial","Communications","GEO","1436.03","4,500",2012-05-15,"Guiana Space Center",35785.5
"JCSat 1B (JCSAT 5)","Japan","Commercial","Communications","GEO","1436.09","2,982",1997-12-02,"Guiana Space Center",35786
"JCSat 2A (JCSAT 8, Japan Communications Satellite 8)","Japan","Commercial","Communications","GEO","1436.1","2,500",2002-03-29,"Guiana Space Center",35791
"JCSat 4A (JCSAT 6, Japan Communications Satellite 6)","Japan","Commercial","Communications","GEO","1435.52","2,900",1999-02-15,"Cape Canaveral",35775
"JCSat 9 (JCSat 5A, Japanese Communications Satellite 9)","Japan","Commercial","Communications","GEO","1436.1","4,400",2006-04-12,"Sea Launch (Odyssey)",35786.5
"JCSat RA (JCSat 12, Japan Communications Satellite 12)","Japan","Commercial","Communications","GEO","1436.12","4,000",2009-08-21,"Guiana Space Center",35787
"Jugnu","India","Civil","Earth Observation","LEO","102","3",2011-10-12,"Sriharikota Launch Station",852.5
"Kalpana-1 (Metsat-1)","India","Government","Earth Observation","GEO","1436.08","1,060",2002-09-12,"Satish Dhawan Space Centre",35786
"KazEOSat-1 (Kazcosmos Earth Observation Satellite)","NR","Government","Earth Observation","LEO","99.87","830",2014-04-30,"Guiana Space Center",752.5
"KazEOSat-2 (kazcosmos Earth Observation Satellite)","NR","Government","Earth Observation","LEO","97.19","185",2014-06-19,"Dombarovsky Air Base",624
"KazSat-2","Kazakhstan","Commercial","Communications","GEO","1436.13","1,300",2011-07-15,"Baikonur Cosmodrome",35787
"KazSat-3","NR","Commercial","Communications","GEO","1436.08","",2014-04-28,"Baikonur Cosmodrome",35786.5
"Keyhole 3 (Advanced KH-11, KH-12-4, Advanced Keyhole, Misty-2, EIS-1, 8X Enhanced Imaging System, USA 144)","USA","Military","Earth Observation","LEO","100.87","18,000",1999-05-22,"Vandenberg AFB",800
"Keyhole 4 (Advanced KH-11, Advanced Keyhole, Improved Crystal, EIS-2, 8X Enhanced Imaging System, NROL 14, USA 161)","USA","Military","Earth Observation","LEO","97.13","18,000",2001-10-05,"Vandenberg AFB",621.5
"Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186)","USA","Military","Earth Observation","LEO","97","18,000",2005-10-19,"Vandenberg AFB",657
"Keyhole 6 (NRO L49, Advanced KH-11, KH-12-6, Improved Crystal, USA 224)","USA","Military","Earth Observation","LEO","97","18,000",2011-01-20,"Vandenberg AFB",600
"Keyhole 7 (NRO L65, Advanced KH-11, Improved Crystal, USA 245)","NR","Military","Earth Observation","LEO","97.25","18,000",2013-08-28,"Vandenberg AFB",627
"Kiku-8 (ETS-8, Engineering Test Satellite 8)","Japan","Government","Technology Development","GEO","1436.04","5,800",2006-12-18,"Tanegashima Space Center",35785
"Kizuna (WINDS - Wideband InterNetworking engineering Demonstration Satellite)","Japan","Government","Technology Development","GEO","1436.1","4,850",2008-02-23,"Tanegashima Space Center",35786
"KKS-1 (Kouku Kousen Satellite One, Kiseki)","Japan","Civil","Technology Development","LEO","97.92","3",2009-01-23,"Tanegashima Space Center",659
"Kobalt-M (Cosmos 2505)","NR","Military","Reconnaissance","LEO","89.12","6,000",2015-06-05,"Plesetsk Cosmodrome",231
"Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)","South Korea","Government/Commercial","Earth Observation/Technology Development","LEO","98.5","800",2006-07-28,"Plesetsk Cosmodrome",687
"Kompsat-3 (Arirang 3, Korean Multipurpose Satellite-3)","South Korea","Government/Commercial","Earth Observation","LEO","98.5","980",2012-05-17,"Tanegashima Space Center",687.5
"Kompsat-3A (Arirang 3A, Korean Multipurpose Satellite-3A)","South Korea","Government/Commercial","Earth Observation","LEO","95.25","980",2015-03-25,"Dombarovsky Air Base",531
"Kompsat-5 (Arirang 5, Korean Multipurpose Satellite-4)","South Korea","Government/Commercial","Earth Observation","LEO","95.5","1,400",2013-08-22,"Dombarovsky Air Base",543.5
"Kondor (Cosmos 2487)","Russia","Military","Earth Observation","LEO","94.6","1,150",2013-06-27,"Baikonur Cosmodrome",499
"Koreasat 5 (Mugungwha 5)","South Korea","Military/Commercial","Communications","GEO","1436.1","4,450",2006-08-22,"Sea Launch (Odyssey)",35786
"Koreasat 6 (Mugungwha 6)","South Korea","Commercial","Communications","GEO","1436.12","2,850",2010-12-29,"Guiana Space Center",35787
"Kuaizhou-2 (KZ-2)","NR","Government","Earth Observation","LEO","90.76","",2014-11-21,"Jiuquan Satellite Launch Center",311.5
"Kukai (STARS-1)","NR","Civil","Technology Development","LEO","97.88","7",2009-01-23,"Tanegashima Space Center",657
"Lacrosse/Onyx 3 (Lacrosse-3, USA 133)","USA","Military","Earth Observation","LEO","98.2","14,500",1997-10-24,"Vandenberg AFB",673
"Lacrosse/Onyx 4 (Lacrosse-4, USA 152)","USA","Military","Earth Observation","LEO","97.21","14,500",2000-08-17,"Vandenberg AFB",625
"Lacrosse/Onyx 5 (Lacrosse-5, NROL 16, USA 182)","USA","Military","Earth Observation","LEO","99.08","14,500",2005-04-30,"Cape Canaveral",714.5
"Landsat 7 ","USA","Government","Earth Observation","LEO","98.8","2,744",1999-04-15,"Vandenberg AFB",702.5
"Landsat 8","USA","Government","Earth Observation","LEO","98.8","2,780",2013-02-11,"Vandenberg AFB",702.5
"LAPAN-Tubsat","NR","Government","Earth Observation/Technology Development","LEO","97.2","60",2007-01-10,"Satish Dhawan Space Centre",627
"LatinSat A","NR","Commercial","Communications","LEO","97.5","",2002-12-20,"Baikonur Cosmodrome",639
"LatinSat B ","NR","Commercial","Communications","LEO","97.9","",2002-12-20,"Baikonur Cosmodrome",660
"Leasat 5 (Syncom IV-5, Leased Satellite F5)","USA","Military","Communications","GEO","1436.1","3,400",1990-01-09,"Cape Canaveral",35786
"Lemur-1","NR","Commercial","Technology Development","LEO","97.82","4",2014-06-19,"Dombarovsky Air Base",654.5
"Ling Qiao","NR","Commercial","Technology Development","LEO","100.73","100",2014-09-04,"Jiuquan Satellite Launch Center",793.5
"Lotos-S1 (Cosmos 2455)","Russia","Military","Earth Observation","LEO","103.1","5,000",2009-11-20,"Plesetsk Cosmodrome",905.5
"Lotos-S2 (Cosmos 2502)","NR","Military","Earth Observation","LEO","103.11","5,000",2014-12-23,"Plesetsk Cosmodrome",905.5
"Lotos-S3 (Cosmos 2503)","NR","Military","Earth Observation","LEO","96","",2015-02-27,"Plesetsk Cosmodrome",562.5
"Luch 5A","Russia","Government","Communications","GEO","1436.8","950",2011-12-11,"Baikonur Cosmodrome",35785.5
"Luch 5B","Russia","Government","Communications","GEO","1436.09","1,282",2012-11-02,"Baikonur Cosmodrome",35786.5
"Luch 5V","Russia","Government","Communications","GEO","1435.99","1,148",2014-04-28,"Baikonur Cosmodrome",35784.5
"Luch/Olympus","NR","Military","Communications","GEO","1436.12","",2014-09-27,"Baikonur Cosmodrome",35787
"Maroc Tubsat ","NR","Government","Technology Development","LEO","105.1","47",2001-12-10,"Baikonur Cosmodrome",999
"M-Cubed/E1P-U2 (Michigan Multipurpose Minisat; Explorer 1 Prime - Unit 2 -  HRBE [William A. Hiscock Radiation Belt Explorer])","USA","Civil","Technology Development","LEO","97.45","2",2011-10-28,"Vandenberg AFB",583
"Measat 2 (Malaysia East Asia Sat 2)","Malaysia","Commercial","Communications","GEO","1436.12","1,450",1996-11-14,"Guiana Space Center",35786.5
"Measat 3 (Malaysia East Asia Sat 3)","Malaysia","Commercial","Communications","GEO","1436.1","4,900",2006-12-11,"Baikonur Cosmodrome",35786
"Measat 3A (Malaysia East Asia Sat 3A)","Malaysia","Commercial","Communications","GEO","1434.6","2,417",2009-06-21,"Baikonur Cosmodrome",35758
"Measat 3B (Malaysia East Asia Sat 3B)","Malaysia","Commercial","Communications","GEO","1436.11","5,800",2014-09-11,"Guiana Space Center",35787
"Megha-Tropiques","India","Government","Earth Observation","LEO","102.2","1,000",2011-10-12,"Sriharikota Launch Station",860.5
"Mercury 1 (Advanced Vortex 1, USA 105)","USA","Military","Earth Observation","GEO","1436.13","8,000",1994-08-27,"Cape Canaveral",35787
"Mercury 2 (Advanced Vortex 2, USA 118)","USA","Military","Earth Observation","GEO","1436.12","8,000",1996-04-24,"Cape Canaveral",35787
"Mercury 3 (NROL 67, USA 250)","NR","Military","Earth Observation","GEO","1436","3,900",2014-04-10,"Cape Canaveral",35500
"Meteor-M N-2","Russia","Government","Earth Observation","LEO","101.3","2,778",2014-07-08,"Baikonur Cosmodrome",823.5
"Meteosat 10 (MSGalaxy-3,MSG 3)","EUMETSAT","Government/Civil","Earth Observation","GEO","1436.15","2,000",2012-07-05,"Guiana Space Center",35787.5
"Meteosat 11 (MSG 4)","EUMETSAT","Government/Civil","Earth Observation","GEO","1436.1","2,000",2015-07-15,"Guiana Space Center",35793
"Meteosat 7 (MTP 1) ","EUMETSAT","Government/Civil","Earth Observation","GEO","1435.96","696",1997-09-02,"Guiana Space Center",35783.5
"Meteosat 8 (MSGalaxy-1, MSG-1)","EUMETSAT/ESA","Government/Civil","Earth Observation","GEO","1436.1","2,000",2002-08-21,"Guiana Space Center",35787
"Meteosat 9 (MSGalaxy-2, MSG 2)","EUMETSAT","Government/Civil","Earth Observation","GEO","1436","2,000",2005-12-21,"Guiana Space Center",35785
"MetOp-A (Meteorological Operational satellite)","EUMETSAT","Government/Civil","Earth Observation","LEO","101.3","4,193",2006-10-19,"Baikonur Cosmodrome",820.5
"MetOp-B (Meteorological Operational satellite)","EUMETSAT","Government/Civil","Earth Observation","LEO","101.3","4,085",2012-09-17,"Baikonur Cosmodrome",820.5
"Mexsat-3 (Mexsat Bicentenario)","Mexico","Government/Military","Communications","GEO","1436.16","2,900",2012-12-19,"Guiana Space Center",35787.5
"Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)","USA","Military","Communications","GEO","1436.13","4,536",1994-02-07,"Cape Canaveral",35786.5
"Milstar DFS-2 (USA 115, Milstar 1-F2) (Military Strategic and Tactical Relay)","USA","Military","Communications","GEO","1436.13","4,536",1995-11-06,"Cape Canaveral",35787
"Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay)","USA","Military","Communications","GEO","1435.04","4,536",2001-02-27,"Cape Canaveral",35766
"Milstar DFS-5 (USA 164, Milstar 2-F3) (Military Strategic and Tactical Relay)","USA","Military","Communications","GEO","1436.12","4,536",2002-01-16,"Cape Canaveral",35786.5
"Milstar DFS-6 (USA 169) (Military Strategic and Tactical Relay)","USA","Military","Communications","GEO","1436.13","4,536",2003-04-08,"Cape Canaveral",35787
"MKA-FKI-1 (Zond PP)","Russia","Government","Earth Observation","LEO","101.2","110",2012-07-22,"Baikonur Cosmodrome",813
"MOST (Microvariability & Oscillations of STars)","Canada","Government","Space Science","LEO","101.4","53",2003-06-30,"Plesetsk Cosmodrome",824.5
"Mozhayets 4 (RS-22)","Russia","Civil","Technology Development","LEO","98.3","64",2003-09-27,"Plesetsk Cosmodrome",679.5
"MSAT 1 ","Canada","Commercial","Communications","GEO","1436.09","2,850",1996-04-20,"Guiana Space Center",35786
"MSAT 2 (AMSC-1, ACTel-1)","USA","Commercial","Communications","GEO","1436.09","2,850",1995-04-07,"Cape Canaveral",35786
"MTI (Multispectral Thermal Imager)","USA","Government/Military","Technology Development","LEO","94.9","587",2000-03-12,"Vandenberg AFB",469.5
"MTSAT-1R (Himawari 6)","Japan","Government","Earth Observation","GEO","1436.1","2,900",2005-02-26,"Tanegashima Space Center",35787
"MTSAT-2 (Multi-Functional Transport Satellite)","Japan","Government","Earth Observation","GEO","1436.1","2,900",2006-02-18,"Tanegashima Space Center",35786.5
"MUOS-1 (Mobile User Objective System 1)","USA","Military","Communications","GEO","1436.1","6,804",2012-02-24,"Cape Canaveral",35800
"MUOS-2 (Mobile User Objective System 2)","USA","Military","Communications","GEO","1436.1","6,804",2013-07-19,"Cape Canaveral",35850
"MUOS-3 (Mobile User Objective System 3)","NR","Military","Communications","GEO","1436.1","6,804",2015-01-21,"Cape Canaveral",35850
"Nanosat-1","Spain","Government","Communications","LEO","97.9","20",2004-12-18,"Guiana Space Center",656.5
"Nanosat-1B","NR","Government","Communication/Technology Development","LEO","97.3","20",2009-07-29,"Baikonur Cosmodrome",627.5
"NATO 4-B (USA 98)","USA","Military","Communications","GEO","1436.04","1,430",1993-12-08,"Cape Canaveral",35785
"Navstar GPS II-10 (Navstar SVN 23, PRN 32,  USA 66)","USA","Military/Commercial","Navigation/Global Positioning","MEO","717.94","1,816",1990-11-26,"Cape Canaveral",20181.5
"Navstar GPS II-23 (Navstar SVN 34, PRN 04, USA 96)","USA","Military/Commercial","Navigation/Global Positioning","MEO","717.97","1,816",1993-10-26,"Cape Canaveral",20182
"Navstar GPS IIF-1 (Navstar SVN 62, PRN 25, USA 213)","USA","Military/Commercial","Navigation/Global Positioning","MEO","718.94","1,630",2010-05-28,"Cape Canaveral",20206
"Navstar GPS IIF-10 (Navstar SVN SVN 72, PRN 8, USA 262)","NR","Military/Commercial","Navigation/Global Positioning","MEO","728.96","1,630",2015-07-15,"Cape Canaveral",20452.5
"Navstar GPS IIF-2 (Navstar SVN 63, PRN 01, USA 232)","USA","Military/Commercial","Navigation/Global Positioning","MEO","729.18","1,630",2011-07-16,"Cape Canaveral",20457.5
"Navstar GPS IIF-3 (Navstar SVN 65, PRN 24, USA 239)","USA","Military/Commercial","Navigation/Global Positioning","MEO","718","1,630",2012-10-04,"Cape Canaveral",20182.5
"Navstar GPS IIF-4 (Navstar SVN 66, PRN 27, USA 242)","USA","Military/Commercial","Navigation/Global Positioning","MEO","719.32","1,630",2013-05-15,"Cape Canaveral",20215.5
"Navstar GPS IIF-5 (Navstar SVN 64, PRN 30, USA 248)","NR","Military/Commercial","Navigation/Global Positioning","MEO","729.39","1,630",2014-02-21,"Cape Canaveral",20463
"Navstar GPS IIF-6 (Navstar SVN 67, PRN 06, USA 251)","NR","Military/Commercial","Navigation/Global Positioning","MEO","717.92","1,630",2014-05-17,"Cape Canaveral",20181
"Navstar GPS IIF-7 (Navstar SVN 68, PRN 09, USA 256)","NR","Military/Commercial","Navigation/Global Positioning","MEO","729","1,630",2014-08-02,"Cape Canaveral",20473.5
"Navstar GPS IIF-8 (Navstar SVN 69, PRN 03, USA 258)","NR","Military/Commercial","Navigation/Global Positioning","MEO","718.02","1,630",2014-10-29,"Cape Canaveral",20183
"Navstar GPS IIF-9 (Navstar SVN 71, PRN 26, USA 260)","NR","Military/Commercial","Navigation/Global Positioning","MEO","729.14","1,630",2015-03-25,"Cape Canaveral",20457
"Navstar GPS IIR-10 (Navstar SVN 47, PRN 22, USA 175)","USA","Military/Commercial","Navigation/Global Positioning","MEO","716.47","2,217",2003-12-21,"Cape Canaveral",20145
"Navstar GPS IIR-11 (Navstar SVN 59, PRN 19, USA 177)","USA","Military/Commercial","Navigation/Global Positioning","MEO","717.98","2,217",2004-03-20,"Cape Canaveral",20182.5
"Navstar GPS IIR-12 (Navstar SVN 60, PRN 23, USA 178)","USA","Military/Commercial","Navigation/Global Positioning","MEO","717.96","2,217",2004-06-23,"Cape Canaveral",20182
"Navstar GPS IIR-13 (Navstar SVN 61, PRN 02, USA 180)","USA","Military/Commercial","Navigation/Global Positioning","MEO","718","2,217",2004-11-06,"Cape Canaveral",20182
"Navstar GPS IIR-2 (Navstar SVN 43, PRN 13, USA 132)","USA","Military/Commercial","Navigation/Global Positioning","MEO","718.09","2,217",1997-07-23,"Cape Canaveral",20185
"Navstar GPS IIR-3 (Navstar SVN 46, PRN 11, USA 145)","USA","Military/Commercial","Navigation/Global Positioning","MEO","717.97","2,217",1999-10-07,"Cape Canaveral",20182
"Navstar GPS IIR-4 (Navstar SVN 51, PRN 20, USA 150)","USA","Military/Commercial","Navigation/Global Positioning","MEO","718.03","2,217",2000-05-11,"Cape Canaveral",20183.5
"Navstar GPS IIR-5 (Navstar SVN 44, PRN 28, USA 151)","USA","Military/Commercial","Navigation/Global Positioning","MEO","722.98","2,217",2000-07-16,"Cape Canaveral",20305.5
"Navstar GPS IIR-6 (Navstar SVN 41, PRN 14, USA 154)","USA","Military/Commercial","Navigation/Global Positioning","MEO","724.28","2,217",2000-11-10,"Cape Canaveral",20337.5
"Navstar GPS IIR-7 (Navstar SVN 54, PRN 18, USA 156)","USA","Military/Commercial","Navigation/Global Positioning","MEO","718.09","2,217",2001-01-30,"Cape Canaveral",20185
"Navstar GPS IIR-8 (Navstar SVN 56, PRN 16, USA 166)","USA","Military/Commercial","Navigation/Global Positioning","MEO","720.71","2,217",2003-01-29,"Cape Canaveral",20249.5
"Navstar GPS IIR-9 (Navstar SVN 45, PRN 21, USA 168)","USA","Military/Commercial","Navigation/Global Positioning","MEO","720.65","2,217",2003-03-31,"Cape Canaveral",20248
"Navstar GPS IIR-M-1 (Navstar SVN 53, PRN 17, USA 183)","USA","Military/Commercial","Navigation/Global Positioning","MEO","717.95","2,217",2005-09-26,"Cape Canaveral",20181.5
"Navstar GPS IIR-M-2 (Navstar SVN 52, PRN 31, USA 190)","USA","Military/Commercial","Navigation/Global Positioning","MEO","717.93","2,060",2006-09-25,"Cape Canaveral",20181
"Navstar GPS IIR-M-3 (Navstar SVN 58, PRN 12, USA 192)","USA","Military/Commercial","Navigation/Global Positioning","MEO","722.19","2,060",2006-11-17,"Cape Canaveral",20286
"Navstar GPS IIR-M-4 (Navstar SVN 55, PRN 15, USA 196)","USA","Military/Commercial","Navigation/Global Positioning","MEO","717.93","2,217",2007-10-17,"Cape Canaveral",20181
