"Year"	"income_population_male"	"median_male"	"income_population_female"	"median_female"	"group"	"factor"	"Average_Income"	"Population"	"Difference_Income"	"Difference_Population"	"Differenc_Income_Norm"
1980	74972	13356	77487	5233	"total"	"Marital_Status"	9227.50052801081	152459	8123	-2515	0.880303390429726
1979	74052	12414	76359	4658	"total"	"Marital_Status"	8476.51933701657	150411	7756	-2307	0.914998207593287
1978	71317	11693	68124	4417	"total"	"Marital_Status"	8138.30501072138	139441	7276	3193	0.894043660248002
1977	69971	10717	61930	4261	"total"	"Marital_Status"	7685.78658994246	131901	6456	8041	0.839992097679144
1976	68760	10051	59704	3882	"total"	"Marital_Status"	7183.94015444015	128464	6169	9056	0.858720961948318
1975	67397	9426	57503	3642	"total"	"Marital_Status"	6763.09085668535	124900	5784	9894	0.855230267131853
1974	66604	9016	56242	3317	"total"	"Marital_Status"	6406.85393093792	122846	5699	10362	0.889516143403897
2014	30579	23221	26897	19652	"Single_never_married"	"Marital_Status"	21550.8177848145	57476	3569	3682	0.165608564632514
2013	31447	21530	26183	19454	"Single_never_married"	"Marital_Status"	20586.8122852681	57630	2076	5264	0.100841255617101
2012	29301	21197	25721	18248	"Single_never_married"	"Marital_Status"	19818.4381701865	55022	2949	3580	0.148800827526171
2011	28534	20729	25286	17513	"Single_never_married"	"Marital_Status"	19218.0416945373	53820	3216	3248	0.167342752769349
2010	27835	20218	24333	17265	"Single_never_married"	"Marital_Status"	18840.6163740224	52168	2953	3502	0.156735848837282
2009	28344	20412	23436	17660	"Single_never_married"	"Marital_Status"	19166.4250289687	51780	2752	4908	0.143584418890875
2008	28014	21222	23032	18013	"Single_never_married"	"Marital_Status"	19774.096383654	51046	3209	4982	0.162283016009403
2007	27803	21312	22616	19003	"Single_never_married"	"Marital_Status"	20276.2725163133	50419	2309	5187	0.1138769464724
2006	26746	20769	21867	17251	"Single_never_married"	"Marital_Status"	19186.5404521424	48613	3518	4879	0.183357703738986
2005	26618	20193	21808	16607	"Single_never_married"	"Marital_Status"	18578.0929665882	48426	3586	4810	0.193023040978923
2004	26007	19299	21259	16335	"Single_never_married"	"Marital_Status"	17965.8709854864	47266	2964	4748	0.164979477053712
2003	25913	18391	20886	15706	"Single_never_married"	"Marital_Status"	17192.7070877583	46799	2685	5027	0.156170868630211
2002	25234	18501	20571	15747	"Single_never_married"	"Marital_Status"	17264.1801331732	45805	2754	4663	0.159521041761385
2001	25222	18001	20536	15779	"Single_never_married"	"Marital_Status"	17003.7756457887	45758	2222	4686	0.130676859439175
2000	24560	18079	20160	15005	"Single_never_married"	"Marital_Status"	16693.2254025045	44720	3074	4400	0.184146558012618
1999	23661	16838	20053	14061	"Single_never_married"	"Marital_Status"	15564.1019124308	43714	2777	3608	0.178423401210323
1998	23350	16792	19872	13239	"Single_never_married"	"Marital_Status"	15158.4518994956	43222	3553	3478	0.234390689996399
1997	23180	15076	19230	12208	"Single_never_married"	"Marital_Status"	13775.5604810186	42410	2868	3950	0.208194795700097
1996	23086	14183	18732	11555	"Single_never_married"	"Marital_Status"	13005.8108470037	41818	2628	4354	0.202063526135739
1995	22617	13484	18236	10941	"Single_never_married"	"Marital_Status"	12348.853303307	40853	2543	4381	0.20593005176594
1994	22493	12783	17688	10429	"Single_never_married"	"Marital_Status"	11746.7502302083	40181	2354	4805	0.20039585024515
1993	22431	12219	17951	9939	"Single_never_married"	"Marital_Status"	11205.47219058	40382	2280	4480	0.203472014496338
1992	22420	11573	17710	9914	"Single_never_married"	"Marital_Status"	10840.8572140543	40130	1659	4710	0.153032178843684
1991	21452	11681	17181	9956	"Single_never_married"	"Marital_Status"	10913.8520953589	38633	1725	4271	0.158056017703736
1990	21318	11712	17213	9814	"Single_never_married"	"Marital_Status"	10864.1041758584	38531	1898	4105	0.174703773940021
1989	20868	11632	16669	9372	"Single_never_married"	"Marital_Status"	10628.4051469217	37537	2260	4199	0.212637735272499
1988	20676	11208	16669	8738	"Single_never_married"	"Marital_Status"	10105.5115812023	37345	2470	4007	0.244421074594042
1987	20287	10277	16396	8220	"Single_never_married"	"Marital_Status"	9357.59395360249	36683	2057	3891	0.21982146374369
1986	19474	9727	15749	7577	"Single_never_married"	"Marital_Status"	8765.68636970162	35223	2150	3725	0.245274575124137
1985	19288	8897	15308	7323	"Single_never_married"	"Marital_Status"	8200.53821251012	34596	1574	3980	0.191938621491797
1984	18898	7993	15037	6992	"Single_never_married"	"Marital_Status"	7549.44505672609	33935	1001	3861	0.132592527328637
1983	18625	7500	14794	6399	"Single_never_married"	"Marital_Status"	7012.60678057392	33419	1101	3831	0.157002956881876
1982	18052	7366	14599	6011	"Single_never_married"	"Marital_Status"	6760.14887752289	32651	1355	3453	0.200439372645371
1981	17710	7148	14071	5861	"Single_never_married"	"Marital_Status"	6578.18227871999	31781	1287	3639	0.195646752471935
1980	17023	7025	13590	5562	"Single_never_married"	"Marital_Status"	6375.53180021559	30613	1463	3433	0.229471053685361
1979	16819	6554	13302	5060	"Single_never_married"	"Marital_Status"	5894.22150659009	30121	1494	3517	0.253468587553016
1978	15891	5894	12520	4541	"Single_never_married"	"Marital_Status"	5297.76755482032	28411	1353	3371	0.255390593490448
1977	14928	4989	11771	4014	"Single_never_married"	"Marital_Status"	4559.14401288438	26699	975	3157	0.21385593375524
1976	14157	4540	10791	3599	"Single_never_married"	"Marital_Status"	4132.98015873016	24948	941	3366	0.227680744610475
1975	13344	4264	10226	3427	"Single_never_married"	"Marital_Status"	3900.8620280017	23570	837	3118	0.214567958054331
1974	13109	3993	9807	3153	"Single_never_married"	"Marital_Status"	3633.51841508117	22916	840	3302	0.231180884212262
2014	60530	47798	54640	25515	"Married_spouse_present"	"Marital_Status"	37226.296257706	115170	22283	5890	0.598582245349947
2013	60286	46997	54879	25369	"Married_spouse_present"	"Marital_Status"	36690.7176051752	115165	21628	5407	0.589467893016881
2012	59415	45293	53008	24729	"Married_spouse_present"	"Marital_Status"	35596.9723899914	112423	20564	6407	0.577689579178421
2011	59246	43954	52997	23508	"Married_spouse_present"	"Marital_Status"	34300.1537735093	112243	20446	6249	0.596090622071522
2010	59073	42195	52855	23528	"Married_spouse_present"	"Marital_Status"	33380.0092470159	111928	18667	6218	0.559226927166558
2009	58733	42290	52799	23759	"Married_spouse_present"	"Marital_Status"	33517.4659380268	111532	18531	5934	0.55287592547311
2008	59463	43437	53518	23137	"Married_spouse_present"	"Marital_Status"	33821.0875899488	112981	20300	5945	0.600217244522702
2007	58744	43666	52490	23228	"Married_spouse_present"	"Marital_Status"	34021.5511803945	111234	20438	6254	0.600736865042701
2006	59311	41863	53019	21791	"Married_spouse_present"	"Marital_Status"	32389.1518027241	112330	20072	6292	0.619713665929091
2005	58291	40640	52655	20432	"Married_spouse_present"	"Marital_Status"	31049.2780271483	110946	20208	5636	0.650836389249723
2004	58199	40066	52506	19647	"Married_spouse_present"	"Marital_Status"	30381.5231109706	110705	20419	5693	0.672086120416616
2003	57928	38387	52518	19109	"Married_spouse_present"	"Marital_Status"	29220.1491950818	110446	19278	5410	0.659750224795047
2002	57551	37081	52489	18106	"Married_spouse_present"	"Marital_Status"	28029.9387949836	110040	18975	5062	0.676954742526796
2001	56923	36920	52195	17717	"Married_spouse_present"	"Marital_Status"	27734.5256969519	109118	19203	4728	0.692386097019515
2000	56960	36282	52438	17093	"Married_spouse_present"	"Marital_Status"	27084.0916104499	109398	19189	4522	0.708497086629122
1999	56750	35316	52386	16324	"Married_spouse_present"	"Marital_Status"	26199.7147045888	109136	18992	4364	0.72489338964724
1998	55122	33785	50965	15472	"Married_spouse_present"	"Marital_Status"	24987.295804387	106087	18313	4157	0.732892432352957
1997	54506	31983	50428	14965	"Married_spouse_present"	"Marital_Status"	23804.681209141	104934	17018	4078	0.714901403235978
1996	53856	30916	49794	13958	"Married_spouse_present"	"Marital_Status"	22769.2884515195	103650	16958	4062	0.74477514025557
1995	53972	29884	50091	12748	"Married_spouse_present"	"Marital_Status"	21635.5411241267	104063	17136	3881	0.792030109239602
1994	54213	28377	50638	11859	"Married_spouse_present"	"Marital_Status"	20399.5988879458	104851	16518	3575	0.809721803390977
1993	53462	27126	49836	11522	"Married_spouse_present"	"Marital_Status"	19597.8683420783	103298	15604	3626	0.796209043128273
1992	53574	26573	49613	11131	"Married_spouse_present"	"Marital_Status"	19148.3830812021	103187	15442	3961	0.806438848362051
1991	52979	26259	49138	10700	"Married_spouse_present"	"Marital_Status"	18772.1159160571	102117	15559	3841	0.828835708748811
1990	52736	25894	48944	10250	"Married_spouse_present"	"Marital_Status"	18363.7095200629	101680	15644	3792	0.851897596338497
1989	52825	25368	48814	9654	"Married_spouse_present"	"Marital_Status"	17821.0623481144	101639	15714	4011	0.881765614924895
1988	52508	24282	48410	9027	"Married_spouse_present"	"Marital_Status"	16964.2316137855	100918	15255	4098	0.899244973029224
1987	52075	23063	47950	8356	"Married_spouse_present"	"Marital_Status"	16012.7560609848	100025	14707	4125	0.918455258044788
1986	51866	22141	47303	7611	"Married_spouse_present"	"Marital_Status"	15210.2798152649	99169	14530	4563	0.955274996678093
1985	51265	21073	46446	6970	"Married_spouse_present"	"Marital_Status"	14369.2722927818	97711	14103	4819	0.981469326535378
1984	50647	20361	45787	6603	"Married_spouse_present"	"Marital_Status"	13828.6820830827	96434	13758	4860	0.994888733238781
1983	50361	18856	45167	6047	"Married_spouse_present"	"Marital_Status"	12799.7222280379	95528	12809	5194	1.00072484166428
1982	50149	17943	44720	5643	"Married_spouse_present"	"Marital_Status"	12144.9416247668	94869	12300	5429	1.01276732157502
1981	49934	17446	44397	5153	"Married_spouse_present"	"Marital_Status"	11660.2845830109	94331	12293	5537	1.05426243351822
1980	49570	16463	43881	4552	"Married_spouse_present"	"Marital_Status"	10870.0519202577	93451	11911	5689	1.09576293539154
1979	49418	15467	43720	3897	"Married_spouse_present"	"Marital_Status"	10035.9149434173	93138	11570	5698	1.15285951158733
1978	48027	14275	37242	3979	"Married_spouse_present"	"Marital_Status"	9778.12971888963	85269	10296	10785	1.05296209970603
1977	47719	13046	32150	4126	"Married_spouse_present"	"Marital_Status"	9455.39538494284	79869	8920	15569	0.943376732209905
1976	47759	12151	31461	3845	"Married_spouse_present"	"Marital_Status"	8852.40032819995	79220	8306	16298	0.938276590761564
1975	47631	11278	30285	3601	"Married_spouse_present"	"Marital_Status"	8294.04362390266	77916	7677	17346	0.925604005490832
1974	47453	10683	29987	3260	"Married_spouse_present"	"Marital_Status"	7808.60045196281	77440	7423	17466	0.950618493757626
2014	3697	30137	4317	21003	"Married_spouse_absent"	"Marital_Status"	25216.6758173197	8014	9134	-620	0.362220622026891
2013	3299	29264	4240	20398	"Married_spouse_absent"	"Marital_Status"	24277.6835124022	7539	8866	-941	0.36519134930937
2012	3658	27672	4332	19548	"Married_spouse_absent"	"Marital_Status"	23267.3481852315	7990	8124	-674	0.349158827010486
2011	3789	26194	4311	19483	"Married_spouse_absent"	"Marital_Status"	22622.2566666667	8100	6711	-522	0.296654754602289
2010	3675	26256	4214	19333	"Married_spouse_absent"	"Marital_Status"	22558	7889	6923	-539	0.30689777462541
2009	3683	24548	4178	18331	"Married_spouse_absent"	"Marital_Status"	21243.7605902557	7861	6217	-495	0.292650633751337
2008	3628	26915	4182	19283	"Married_spouse_absent"	"Marital_Status"	22828.3131882202	7810	7632	-554	0.334321679270557
2007	3713	26026	3933	20028	"Married_spouse_absent"	"Marital_Status"	22940.7091289563	7646	5998	-220	0.261456608262784
2006	3636	26151	3996	18814	"Married_spouse_absent"	"Marital_Status"	22309.4575471698	7632	7337	-360	0.328873975733703
2005	3808	24865	4038	17646	"Married_spouse_absent"	"Marital_Status"	21149.6900331379	7846	7219	-230	0.341328879462965
2004	3536	24614	4050	16843	"Married_spouse_absent"	"Marital_Status"	20465.2325336146	7586	7771	-514	0.379717161152993
2003	3201	23257	3861	16616	"Married_spouse_absent"	"Marital_Status"	19626.1728971963	7062	6641	-660	0.338374681339362
2002	3263	22273	3894	16639	"Married_spouse_absent"	"Marital_Status"	19207.6379768059	7157	5634	-631	0.293320813668151
2001	3119	22724	3790	16953	"Married_spouse_absent"	"Marital_Status"	19558.2611086988	6909	5771	-671	0.29506713137362
2000	3146	22394	3722	16707	"Married_spouse_absent"	"Marital_Status"	19312.0235876529	6868	5687	-576	0.294479756312848
1999	3022	21731	3735	15031	"Married_spouse_absent"	"Marital_Status"	18027.5073257363	6757	6700	-713	0.371654265836021
1998	2917	22209	3772	14056	"Married_spouse_absent"	"Marital_Status"	17611.4344446106	6689	8153	-855	0.46293787287128
1997	3117	21530	3710	13406	"Married_spouse_absent"	"Marital_Status"	17115.1706459646	6827	8124	-593	0.474666608241823
1996	3027	19847	3792	12773	"Married_spouse_absent"	"Marital_Status"	15913.196216454	6819	7074	-765	0.444536716809008
1995	2801	17274	3907	11969	"Married_spouse_absent"	"Marital_Status"	14184.1617471676	6708	5305	-1106	0.374008707356947
1994	2656	15828	3755	10776	"Married_spouse_absent"	"Marital_Status"	12868.9826860084	6411	5052	-1099	0.392571823528265
1993	2664	15955	3663	10558	"Married_spouse_absent"	"Marital_Status"	12830.4210526316	6327	5397	-999	0.420640910992789
1992	2514	17082	3370	9960	"Married_spouse_absent"	"Marital_Status"	13002.9483344663	5884	7122	-856	0.547721933272781
1991	2545	16615	3435	9385	"Married_spouse_absent"	"Marital_Status"	12461.9816053512	5980	7230	-890	0.580164553998013
1990	2535	16434	3440	9393	"Married_spouse_absent"	"Marital_Status"	12380.2694560669	5975	7041	-905	0.568727524468344
1989	2471	15577	3294	9676	"Married_spouse_absent"	"Marital_Status"	12205.2924544666	5765	5901	-823	0.483478787748383
1988	2239	15298	3139	8302	"Married_spouse_absent"	"Marital_Status"	11214.6150985496	5378	6996	-900	0.623828810754706
1987	2310	14596	3218	8221	"Married_spouse_absent"	"Marital_Status"	10884.9381331404	5528	6375	-908	0.585671679712227
1986	2461	15008	3215	7669	"Married_spouse_absent"	"Marital_Status"	10851.043516561	5676	7339	-754	0.676340481797825
1985	2434	13639	3072	7594	"Married_spouse_absent"	"Marital_Status"	10266.2720668362	5506	6045	-638	0.588821332675136
1984	2301	12492	3116	7234	"Married_spouse_absent"	"Marital_Status"	9467.46095624885	5417	5258	-815	0.555375937043558
1983	2043	12143	3075	6890	"Married_spouse_absent"	"Marital_Status"	8986.88921453693	5118	5253	-1032	0.584518165807908
1982	2095	11478	2994	5972	"Married_spouse_absent"	"Marital_Status"	8238.6673216742	5089	5506	-899	0.668311971465928
1981	2193	11209	3202	5811	"Married_spouse_absent"	"Marital_Status"	8005.21946246525	5395	5398	-1009	0.674310057995295
1980	2187	10562	3152	6084	"Married_spouse_absent"	"Marital_Status"	7918.31091964787	5339	4478	-965	0.565524648557136
1979	2038	10244	3014	5355	"Married_spouse_absent"	"Marital_Status"	7327.24505146477	5052	4889	-976	0.667235770833494
1978	2053	8289	2857	4758	"Married_spouse_absent"	"Marital_Status"	6234.40386965377	4910	3531	-804	0.56637331713258
1977	2155	7804	2904	4574	"Married_spouse_absent"	"Marital_Status"	5949.8944455426	5059	3230	-749	0.542866773446674
1976	1854	7245	2838	4147	"Married_spouse_absent"	"Marital_Status"	5371.14578005115	4692	3098	-984	0.576785685375774
1975	1920	6622	2881	3927	"Married_spouse_absent"	"Marital_Status"	5004.77546344512	4801	2695	-961	0.53848569624837
1974	1795	6890	2758	3622	"Married_spouse_absent"	"Marital_Status"	4910.39446518779	4553	3268	-963	0.665526980198529
2014	3159	27146	10794	19708	"Windowed"	"Marital_Status"	21391.9849494732	13953	7438	-7635	0.347700319421885
2013	2821	26629	10823	19168	"Windowed"	"Marital_Status"	20710.6180738786	13644	7461	-8002	0.360249992220668
2012	2972	24074	10761	18356	"Windowed"	"Marital_Status"	19593.4496468361	13733	5718	-7789	0.291832224700837
2011	2768	23969	10717	18148	"Windowed"	"Marital_Status"	19342.8482017056	13485	5821	-7949	0.300938100702601
2010	2828	22860	10905	17530	"Windowed"	"Marital_Status"	18627.592660016	13733	5330	-8077	0.286134665776797
2009	2870	24249	10869	18008	"Windowed"	"Marital_Status"	19311.7098769925	13739	6241	-7999	0.323171797823836
2008	2744	21987	10891	17016	"Windowed"	"Marital_Status"	18016.39779978	13635	4971	-8147	0.275915310887546
2007	2791	21544	10892	16366	"Windowed"	"Marital_Status"	17422.1863626398	13683	5178	-8101	0.29720724438488
2006	2593	21937	10778	16128	"Windowed"	"Marital_Status"	17254.5228479545	13371	5809	-8185	0.33666535152484
2005	2533	20116	10825	14961	"Windowed"	"Marital_Status"	15938.5127264561	13358	5155	-8292	0.323430428451665
2004	2627	19390	10704	14276	"Windowed"	"Marital_Status"	15283.7622083865	13331	5114	-8077	0.334603478533175
2003	2565	19010	10691	14286	"Windowed"	"Marital_Status"	15200.0811707906	13256	4724	-8126	0.310787814020226
2002	2611	19568	10824	13677	"Windowed"	"Marital_Status"	14821.8754000744	13435	5891	-8213	0.397453078034269
2001	2532	18764	11031	13557	"Windowed"	"Marital_Status"	14529.0654722407	13563	5207	-8499	0.358385059930285
2000	2449	18014	11112	13151	"Windowed"	"Marital_Status"	14029.2159870216	13561	4863	-8663	0.346633768023726
1999	2434	18107	11047	12706	"Windowed"	"Marital_Status"	13681.1527334767	13481	5401	-8613	0.394776676002174
1998	2470	16794	10568	12418	"Windowed"	"Marital_Status"	13247.0167203559	13038	4376	-8098	0.330338527713615
1997	2505	16503	10670	12039	"Windowed"	"Marital_Status"	12887.7529411765	13175	4464	-8165	0.346375354988183
1996	2625	14806	10747	11353	"Windowed"	"Marital_Status"	12030.8436284774	13372	3453	-8122	0.28701229162572
1995	2433	15037	10740	11101	"Windowed"	"Marital_Status"	11827.9633340925	13173	3936	-8307	0.332770730583432
1994	2232	13773	10764	10659	"Windowed"	"Marital_Status"	11193.8144044321	12996	3114	-8532	0.278189354181808
1993	2169	13822	10809	10159	"Windowed"	"Marital_Status"	10771.193481276	12978	3663	-8640	0.340073735224192
1992	2299	13071	10860	9776	"Windowed"	"Marital_Status"	10351.6672239532	13159	3295	-8561	0.318306213744541
1991	2493	12680	11105	9730	"Windowed"	"Marital_Status"	10270.8405647889	13598	2950	-8612	0.287220893109114
1990	2341	12307	11062	9397	"Windowed"	"Marital_Status"	9905.26755204059	13403	2910	-8721	0.293783079024504
1989	2276	12041	11261	9249	"Windowed"	"Marital_Status"	9718.42394917633	13537	2792	-8985	0.287289380932659
1988	2246	11732	11234	8341	"Windowed"	"Marital_Status"	8905.99896142433	13480	3391	-8988	0.380754591897873
1987	2233	10741	11060	7990	"Windowed"	"Marital_Status"	8452.12164296998	13293	2751	-8827	0.325480407903042
1986	2077	10122	10882	7476	"Windowed"	"Marital_Status"	7900.08688942048	12959	2646	-8805	0.33493302504602
1985	2110	9672	11012	7327	"Windowed"	"Marital_Status"	7704.07285474775	13122	2345	-8902	0.30438445277096
1984	2075	8518	11139	7009	"Windowed"	"Marital_Status"	7245.95890721962	13214	1509	-9064	0.208254010176139
1983	2017	9251	10861	6584	"Windowed"	"Marital_Status"	7001.71540611896	12878	2667	-8844	0.380906655770277
1982	1904	8688	10658	6142	"Windowed"	"Marital_Status"	6527.89269224646	12562	2546	-8754	0.390018666058041
1981	1834	7998	10635	5594	"Windowed"	"Marital_Status"	5947.59178763333	12469	2404	-8801	0.404197208859992
1980	1920	6800	10582	5053	"Windowed"	"Marital_Status"	5321.29627259638	12502	1747	-8662	0.328303464138372
1979	1933	6287	10497	4588	"Windowed"	"Marital_Status"	4852.21295253419	12430	1699	-8564	0.350149512525549
1978	1916	5822	10291	4162	"Windowed"	"Marital_Status"	4422.55214221348	12207	1660	-8375	0.375348881510116
1977	1847	5094	9969	3811	"Windowed"	"Marital_Status"	4011.55018618822	11816	1283	-8122	0.319826486134306
1976	1868	4613	9863	3442	"Windowed"	"Marital_Status"	3628.46560395533	11731	1171	-7995	0.322725947497893
1975	1762	4232	9819	3249	"Windowed"	"Marital_Status"	3398.55927812797	11581	983	-8057	0.289240210205033
1974	1766	4183	9783	2964	"Windowed"	"Marital_Status"	3150.4017663867	11549	1219	-8017	0.386934775432821
2014	10243	34191	14019	27246	"Divorced"	"Marital_Status"	30178.0598054571	24262	6945	-3776	0.23013407902201
2013	10085	32189	13968	27988	"Divorced"	"Marital_Status"	29749.4054379911	24053	4201	-3883	0.141212906212746
2012	10381	32283	13747	27385	"Divorced"	"Marital_Status"	29492.3498839523	24128	4898	-3366	0.166076966375106
2011	10108	33530	13412	27346	"Divorced"	"Marital_Status"	30003.6476190476	23520	6184	-3304	0.206108273184562
2010	9923	31987	13233	26301	"Divorced"	"Marital_Status"	28737.6115909483	23156	5686	-3310	0.197859170794519
2009	9415	31462	13065	26010	"Divorced"	"Marital_Status"	28293.3887900356	22480	5452	-3650	0.192695192522152
2008	9398	32145	12646	26836	"Divorced"	"Marital_Status"	29099.3815097079	22044	5309	-3248	0.182443740195264
2007	9319	33717	12972	26826	"Divorced"	"Marital_Status"	29706.8590462519	22291	6891	-3653	0.231966630644832
2006	9137	32616	12585	26364	"Divorced"	"Marital_Status"	28993.8003867047	21722	6252	-3448	0.215632304720801
2005	9172	31421	12524	25934	"Divorced"	"Marital_Status"	28253.6332964602	21696	5487	-3352	0.194205111336511
2004	8767	30374	12422	24802	"Divorced"	"Marital_Status"	27107.42847704	21189	5572	-3655	0.205552511361212
2003	8611	30409	12346	24734	"Divorced"	"Marital_Status"	27065.7948656773	20957	5675	-3735	0.209674241165427
2002	8562	28861	12180	24424	"Divorced"	"Marital_Status"	26255.5299392537	20742	4437	-3618	0.168992970633832
2001	8343	29892	11819	23595	"Divorced"	"Marital_Status"	26200.6874814007	20162	6297	-3476	0.240337205062658
2000	8442	29551	11555	23402	"Divorced"	"Marital_Status"	25997.8822823424	19997	6149	-3113	0.236519264654736
1999	8283	28885	11091	21966	"Divorced"	"Marital_Status"	24924.0921337876	19374	6919	-2808	0.277602889720524
1998	8260	26808	10771	21118	"Divorced"	"Marital_Status"	23587.6232462824	19031	5690	-2511	0.241228204325198
1997	7982	25397	10696	19512	"Divorced"	"Marital_Status"	22026.9411071849	18678	5885	-2714	0.267172821290215
1996	7856	24858	10804	18690	"Divorced"	"Marital_Status"	21286.7742765273	18660	6168	-2948	0.289757382676876
1995	7413	23374	10248	18467	"Divorced"	"Marital_Status"	20526.6563614744	17661	4907	-2835	0.239055007965629
1994	7149	22105	10005	17578	"Divorced"	"Marital_Status"	19464.6458551941	17154	4527	-2856	0.232575513249935
1993	6947	21461	9882	17054	"Divorced"	"Marital_Status"	18873.2066670628	16829	4407	-2935	0.233505629315818
1992	6570	21011	9589	16496	"Divorced"	"Marital_Status"	18331.7293149329	16159	4515	-3019	0.246294276030037
1991	6553	20949	9350	16557	"Divorced"	"Marital_Status"	18366.7702320317	15903	4392	-2797	0.239127508239872
1990	6462	20588	8993	15639	"Divorced"	"Marital_Status"	17708.2615981883	15455	4949	-2531	0.279474073305215
1989	6164	20676	8621	15328	"Divorced"	"Marital_Status"	17557.6294893473	14785	5348	-2457	0.30459692769145
1988	5896	19308	8316	14398	"Divorced"	"Marital_Status"	16434.9659442724	14212	4910	-2420	0.298753281062388
1987	5622	18206	8025	13907	"Divorced"	"Marital_Status"	15678.0103319411	13647	4299	-2403	0.274205712904881
1986	5406	17257	7850	12556	"Divorced"	"Marital_Status"	14473.1398611949	13256	4701	-2444	0.324808579553924
1985	5287	17628	7871	12504	"Divorced"	"Marital_Status"	14562.8682170543	13158	5124	-2584	0.35185376421929
1984	5099	16789	7645	11740	"Divorced"	"Marital_Status"	13760.1546610169	12744	5049	-2546	0.366929015289633
1983	4739	16092	7169	10959	"Divorced"	"Marital_Status"	13001.7684749748	11908	5133	-2430	0.39479244764893
1982	4450	15189	6765	10536	"Divorced"	"Marital_Status"	12382.2639322336	11215	4653	-2315	0.375779423332051
1981	4502	15107	6712	10080	"Divorced"	"Marital_Status"	12098.1517745675	11214	5027	-2210	0.415518014129039
1980	4272	12908	6282	9060	"Divorced"	"Marital_Status"	10617.5758953951	10554	3848	-2010	0.362417941525513
1979	3842	12165	5827	8366	"Divorced"	"Marital_Status"	9875.54162788293	9669	3799	-1985	0.384687761253902
1978	3430	11041	5214	7572	"Divorced"	"Marital_Status"	8948.5236001851	8644	3469	-1784	0.387661714378028
1977	3321	9888	5135	6962	"Divorced"	"Marital_Status"	8111.15397350993	8456	2926	-1814	0.360737819742538
1976	3121	9234	4751	6233	"Divorced"	"Marital_Status"	7422.80195630081	7872	3001	-1630	0.404294768696154
1975	2740	8786	4292	5961	"Divorced"	"Marital_Status"	7061.75369738339	7032	2825	-1552	0.400042272933812
1974	2481	7926	3907	5707	"Divorced"	"Marital_Status"	6568.82514088917	6388	2219	-1426	0.337807743760345
2014	84494	40638	75572	28394	"total"	"Work_time"	34857.2372646283	160066	12244	8922	0.351261343721715
2013	83855	40229	74821	27390	"total"	"Work_time"	34174.9854105221	158676	12839	9034	0.375684139898624
2012	83003	37916	74188	26882	"total"	"Work_time"	32708.3838387694	157191	11034	8815	0.33734470203084
2011	81366	37341	73094	26550	"total"	"Work_time"	32234.4523242263	154460	10791	8272	0.334766041360344
2010	80856	36784	72716	26503	"total"	"Work_time"	31915.9693954627	153572	10281	8140	0.32212714182705
2009	81934	36331	72972	26030	"total"	"Work_time"	31478.4792971221	154906	10301	8962	0.327239441993685
2008	84039	36568	74538	25650	"total"	"Work_time"	31436.0711326359	158577	10918	9501	0.34730803203538
2007	84482	36635	74295	25878	"total"	"Work_time"	31601.5800777191	158777	10757	10187	0.340394371849283
2006	83928	35879	73683	24466	"total"	"Work_time"	30543.4328187753	157611	11413	10245	0.373664612871685
2005	82934	34349	72476	23074	"total"	"Work_time"	29090.8641014092	155410	11275	10458	0.387578724395946
2004	81448	32483	71930	22256	"total"	"Work_time"	27686.822516919	153378	10227	9518	0.369381498861072
2003	80508	32048	71372	22004	"total"	"Work_time"	27328.0871214116	151880	10044	9136	0.367533957110759
2002	80500	31647	71411	21429	"total"	"Work_time"	26843.6770148311	151911	10218	9089	0.380648299201133
2001	80209	31364	71232	20851	"total"	"Work_time"	26419.0906557669	151441	10513	8977	0.397931940087618
2000	80494	30951	71657	20267	"total"	"Work_time"	25919.2658148813	152151	10684	8837	0.412203033693412
1999	79322	30079	71053	18440	"total"	"Work_time"	24579.5096126351	150375	11639	8269	0.473524500017567
1998	77295	28755	68846	17716	"total"	"Work_time"	23554.6045326089	146141	11039	8449	0.468655713778495
1997	76694	26843	67736	16716	"total"	"Work_time"	22093.5540954095	144430	10127	8958	0.458368986549979
1996	76121	25785	66661	16028	"total"	"Work_time"	21229.7242859744	142782	9757	9460	0.45959146094262
1995	74619	25018	65557	15322	"total"	"Work_time"	20483.4101130008	140176	9696	9062	0.473358681318691
1994	74264	23656	64706	14323	"total"	"Work_time"	19310.4498956609	138970	9333	9558	0.483313441707908
1993	73198	22443	63660	13896	"total"	"Work_time"	18467.3316430168	136858	8547	9538	0.462817269176618
1992	73120	21903	62408	13527	"total"	"Work_time"	18046.0154064105	135528	8376	10712	0.46414678317434
1991	72040	21857	61796	12884	"total"	"Work_time"	17713.9031650677	133836	8973	10244	0.506551261818739
1990	72348	21522	61732	12250	"total"	"Work_time"	17253.0627684964	134080	9272	10616	0.537411827941089
1989	72045	21376	61338	11736	"total"	"Work_time"	16942.9139245631	133383	9640	10707	0.568969425384635
1988	70467	20612	60658	11096	"total"	"Work_time"	16209.9292430887	131125	9516	9809	0.587047596401896
1987	69545	19818	59359	10619	"total"	"Work_time"	15581.952701235	128904	9199	10186	0.590362464601172
1986	68728	18782	57686	10016	"total"	"Work_time"	14781.8459347857	126414	8766	11042	0.593024716850229
1985	67809	17779	56296	9328	"total"	"Work_time"	13945.4921155473	124105	8451	11513	0.606002278727639
